dataset,model,adapter,r,alpha,dropout,epochs,lr,trainable_params,total_params,accuracy,train_time_min,peak_vram_gb,notes
sst2,distilbert-base-uncased,lora,8,16,0.1000,3,0.0000,887042,67842052,0.8739,1.2000,0.7300,baseline
sst2,distilbert-base-uncased,lora,8,16,0.1000,3,0.0001,887042,67842052,0.9060,1.0600,0.7300,baseline
sst2,distilbert-base-uncased,lora,8,16,0.1000,3,0.0002,887042,67842052,0.9060,1.0600,0.7300,baseline
sst2,distilbert-base-uncased,lora,8,16,0.1000,3,0.0004,887042,67842052,0.9071,1.0600,0.7300,baseline
sst2,distilbert-base-uncased,lora,8,16,0.1000,3,0.0010,887042,67842052,0.8922,1.0600,0.7300,baseline
sst2,distilbert-base-uncased,hira,8,16,0.1000,3,0.0000,887042,67249922,0.8406,1.0400,0.6900,baseline
sst2,distilbert-base-uncased,hira,8,16,0.1000,3,0.0001,887042,67249922,0.8498,1.0500,0.6900,baseline
sst2,distilbert-base-uncased,hira,8,16,0.1000,3,0.0002,887042,67249922,0.8647,1.0500,0.6900,baseline
sst2,distilbert-base-uncased,hira,8,16,0.1000,3,0.0004,887042,67249922,0.8830,1.0500,0.6900,baseline
sst2,distilbert-base-uncased,hira,8,16,0.1000,3,0.0010,887042,67249922,0.8956,1.0500,0.6900,baseline
sst2,distilbert-base-uncased,lora,16,32,0.1000,3,0.0000,1181954,68136964,0.8807,1.0700,0.7300,baseline
sst2,distilbert-base-uncased,lora,16,32,0.1000,3,0.0001,1181954,68136964,0.9037,1.0700,0.7300,baseline
sst2,distilbert-base-uncased,lora,16,32,0.1000,3,0.0002,1181954,68136964,0.9083,1.0600,0.7300,baseline
sst2,distilbert-base-uncased,lora,16,32,0.1000,3,0.0004,1181954,68136964,0.9060,1.0600,0.7300,baseline
sst2,distilbert-base-uncased,lora,16,32,0.1000,3,0.0010,1181954,68136964,0.8945,1.0600,0.7300,baseline
sst2,distilbert-base-uncased,hira,16,32,0.1000,3,0.0000,1181954,67544834,0.8372,1.0600,0.7000,baseline
sst2,distilbert-base-uncased,hira,16,32,0.1000,3,0.0001,1181954,67544834,0.8521,1.0500,0.7000,baseline
sst2,distilbert-base-uncased,hira,16,32,0.1000,3,0.0002,1181954,67544834,0.8727,1.0500,0.7000,baseline
sst2,distilbert-base-uncased,hira,16,32,0.1000,3,0.0004,1181954,67544834,0.8876,1.0600,0.7000,baseline
sst2,distilbert-base-uncased,hira,16,32,0.1000,3,0.0010,1181954,67544834,0.9106,1.0500,0.7000,baseline
sst2,distilbert-base-uncased,lora,32,64,0.1000,3,0.0000,1771778,68726788,0.8899,1.0700,0.7400,baseline
sst2,distilbert-base-uncased,lora,32,64,0.1000,3,0.0001,1771778,68726788,0.9060,1.0700,0.7400,baseline
sst2,distilbert-base-uncased,lora,32,64,0.1000,3,0.0002,1771778,68726788,0.9002,1.0700,0.7400,baseline
sst2,distilbert-base-uncased,lora,32,64,0.1000,3,0.0004,1771778,68726788,0.8945,1.0700,0.7400,baseline
sst2,distilbert-base-uncased,lora,32,64,0.1000,3,0.0010,1771778,68726788,0.9025,1.0700,0.7400,baseline
sst2,distilbert-base-uncased,hira,32,64,0.1000,3,0.0000,1771778,68134658,0.8383,1.0500,0.7000,baseline
sst2,distilbert-base-uncased,hira,32,64,0.1000,3,0.0001,1771778,68134658,0.8601,1.0500,0.7000,baseline
sst2,distilbert-base-uncased,hira,32,64,0.1000,3,0.0002,1771778,68134658,0.8842,1.0500,0.7000,baseline
sst2,distilbert-base-uncased,hira,32,64,0.1000,3,0.0004,1771778,68134658,0.8968,1.0500,0.7000,baseline
sst2,distilbert-base-uncased,hira,32,64,0.1000,3,0.0010,1771778,68134658,0.9094,1.0500,0.7000,baseline
imdb,distilbert-base-uncased,lora,8,16,0.1000,3,0.0000,887042,67842052,0.8958,6.3700,3.2800,baseline
imdb,distilbert-base-uncased,lora,8,16,0.1000,3,0.0001,887042,67842052,0.9184,6.3700,3.2800,baseline
imdb,distilbert-base-uncased,lora,8,16,0.1000,3,0.0002,887042,67842052,0.9257,6.3800,3.2800,baseline
sst2,distilbert-base-uncased,lora,2,4,0.1000,3,0.0000,665858,67620868,0.8429,0.9000,1.8200,baseline
sst2,distilbert-base-uncased,lora,2,4,0.1000,3,0.0000,665858,67620868,0.8601,1.0800,0.7200,baseline
sst2,distilbert-base-uncased,lora,2,4,0.1000,3,0.0001,665858,67620868,0.8991,1.0800,0.7200,baseline
sst2,distilbert-base-uncased,lora,2,4,0.1000,3,0.0002,665858,67620868,0.9014,1.0700,0.7200,baseline
sst2,distilbert-base-uncased,lora,2,4,0.1000,3,0.0004,665858,67620868,0.9025,1.0800,0.7200,baseline
sst2,distilbert-base-uncased,lora,2,4,0.1000,3,0.0010,665858,67620868,0.8899,1.0700,0.7200,baseline
sst2,distilbert-base-uncased,lora,2,4,0.1000,3,0.0020,665858,67620868,0.8968,1.0700,0.7200,baseline
